id,degree,is_paying,bachelor_course,master_couse,specialty,SDistrict,plan_to_move_to_distant,payments_for_distant,self_efficiency
555844,В бакалавриате,На бюджетном месте,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЦФО,NA,NA,Затрудняюсь ответить
555845,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Образование и педагогические науки,ПФО,NA,NA,Скорее согласен(-на)
555850,В бакалавриате,На бюджетном месте,1 курс,NA,"Инженерное дело, технологии, технические науки",ЦФО,NA,NA,NA
555860,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,ПФО,NA,NA,Скорее согласен(-на)
555879,В специалитете,На бюджетном месте,4 курс,NA,Здравоохранение и медицинские науки,ЮФО,NA,NA,Скорее не согласен(-на)
555883,В бакалавриате,На месте с оплатой обучения,4 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Абсолютно не согласен(-на)
555885,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Затрудняюсь ответить
555911,В бакалавриате,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,ПФО,NA,NA,NA
555914,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Абсолютно не согласен(-на)
555918,В магистратуре,На бюджетном месте,NA,1 курс,Искусство и культура,Другое,NA,NA,Скорее согласен(-на)
555923,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
555925,В бакалавриате,На бюджетном месте,3 курс,NA,"Инженерное дело, технологии, технические науки",ЦФО,NA,NA,Скорее не согласен(-на)
555929,В бакалавриате,На бюджетном месте,3 курс,NA,Компьютерные науки,ПФО,NA,NA,Абсолютно не согласен(-на)
555930,В бакалавриате,На бюджетном месте,2 курс,NA,Здравоохранение и медицинские науки,СФО,NA,NA,Скорее не согласен(-на)
555932,В бакалавриате,На бюджетном месте,2 курс,NA,Компьютерные науки,ПФО,NA,NA,Скорее не согласен(-на)
555936,В специалитете,На месте с оплатой обучения,3 курс,NA,Затрудняюсь ответить,ПФО,NA,NA,Полностью согласен(-на)
555944,В бакалавриате,На бюджетном месте,3 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Полностью согласен(-на)
555950,В бакалавриате,На бюджетном месте,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ПФО,NA,NA,Скорее согласен(-на)
555953,В магистратуре,На бюджетном месте,NA,1 курс,Экономика и менеджмент,ЦФО,NA,NA,Полностью согласен(-на)
555958,В специалитете,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ПФО,NA,NA,Абсолютно не согласен(-на)
555969,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,ДВФО,NA,NA,Скорее не согласен(-на)
555972,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Полностью согласен(-на)
